name,artificial intelligence,machine learning,data science,hackathon,full stack development,fintech,ui/ux design,cybersecurity,web development,app development,cloud computing,deep learning,robotics,research,blockchain,entrepreneurship,vibecoding,collaboration,trading,product management
User31,0,0,0,0,0,0,0,0,0,0,0,8,9,0,2,0,0,0,0,0
User32,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
User33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
User34,0,9,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
User35,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,3,0,0,0,0
User36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,8
User37,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
User38,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
User39,0,0,0,4,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0
User40,0,0,0,0,5,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0
User41,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
User42,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
User43,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,1
User44,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
User45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0
User46,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
User47,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0
User48,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
User49,0,0,2,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0
User50,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
User51,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,4,0,0,0
User52,0,0,0,0,6,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0
User53,10,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
User54,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0
User55,0,0,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0
User56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,9,0,0
User57,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0
User58,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
User59,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,8
User60,0,5,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
User61,5,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
User62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2
User63,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
User64,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
User65,0,4,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
User66,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0
User67,7,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0
User68,0,0,0,8,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
User69,0,0,0,0,0,0,5,6,0,0,0,0,0,0,4,0,0,0,0,0
User70,6,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0
User71,0,0,9,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0
User72,3,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
User73,0,7,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
User74,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,10,0,0,0
User75,0,9,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
User76,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,7,0,0
User77,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5
User78,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,0,0,0,0,0
User79,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,0,0,0,0
User80,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,0
User81,0,0,0,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0
User82,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0
User83,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0
User84,8,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
User85,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7
User86,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1
User87,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0
User88,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0
User89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,8,0,0
User90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,9
User91,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,4,0,0,0,0
User92,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,8,0,0,0,0
User93,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0
User94,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3
User95,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0
User96,0,7,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0
User97,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
User98,0,0,0,0,0,0,0,0,0,9,0,0,9,10,0,0,0,0,0,0
User99,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,8
User100,7,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0
User101,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
User102,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
User103,0,6,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0
User104,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7
User105,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
User106,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
User107,3,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
User108,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,5,0
User109,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5
User110,7,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
User111,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0
User112,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0
User113,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0
User114,0,0,0,8,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0
User115,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,9,0,0,0
User116,0,0,0,0,0,0,0,0,2,0,0,0,0,4,6,0,0,0,0,0
User117,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,0,0,0,0
User118,3,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0
User119,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,5,0,0,0,0
User120,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,1
User121,0,0,8,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0
User122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2
User123,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,6
User124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7,0,0
User125,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0
User126,0,0,0,2,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0
User127,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,10,0
User128,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0
User129,0,0,0,0,0,9,0,0,0,3,0,1,0,0,0,0,0,0,0,0
User130,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0
User131,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
User132,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0
User133,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
User134,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
User135,0,0,9,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
User136,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,7
User137,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,10,0
User138,0,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
User139,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,3
User140,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0
User141,0,5,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0
User142,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0
User143,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
User144,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,8,0
User145,0,0,0,0,0,0,0,0,8,9,0,0,9,0,0,0,0,0,0,0
User146,0,10,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
User147,10,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
User148,3,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
User149,0,0,0,0,0,8,0,0,7,0,0,0,0,0,10,0,0,0,0,0
User150,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0
User151,0,0,0,7,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0
User152,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0
User153,0,0,0,1,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0
User154,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,0,0
User155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0
User156,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0
User157,5,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
User158,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
User159,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
User160,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,9,0
User161,0,0,0,0,10,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0
User162,0,0,6,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0
User163,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0
User164,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0
User165,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,6
User166,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,7,0
User167,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,3,0,0,0,0
User168,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
User169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0
User170,0,0,6,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
User171,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6
User172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0
User173,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,2
User174,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
User175,0,6,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0
User176,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0
User177,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7
User178,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0
User179,9,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0
User180,0,0,10,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0
User181,0,0,0,0,0,0,0,0,4,0,0,0,0,5,7,0,0,0,0,0
User182,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0
User183,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5
User184,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
User185,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,5
User186,0,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User187,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0
User188,0,0,0,0,0,9,6,0,0,0,0,0,0,3,0,0,0,0,0,0
User189,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,5
User190,0,0,0,3,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0
User191,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,7,0,0
User192,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0
User193,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,2,0
User194,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0
User195,0,0,7,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
User196,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
User197,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0
User198,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0
User199,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1
User200,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,2
