user1,user2,similarity,match_prob,match,artificial intelligence_1,artificial intelligence_2,machine learning_1,machine learning_2,data science_1,data science_2,hackathon_1,hackathon_2,full stack development_1,full stack development_2,fintech_1,fintech_2,ui/ux design_1,ui/ux design_2,cybersecurity_1,cybersecurity_2,web development_1,web development_2,app development_1,app development_2,cloud computing_1,cloud computing_2,deep learning_1,deep learning_2,robotics_1,robotics_2,research_1,research_2,blockchain_1,blockchain_2,entrepreneurship_1,entrepreneurship_2,vibecoding_1,vibecoding_2,collaboration_1,collaboration_2,trading_1,trading_2,product management_1,product management_2
User100,User123,0.214056490778188,0.19534269452721126,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6
User161,User162,0.0,0.06297335605699649,0,0,0,0,0,0,6,0,0,10,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
User16,User129,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
User100,User186,0.0,0.06297335605699649,0,7,0,0,1,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User56,User117,0.4562074178761324,0.509310050633441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,1,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,9,0,0,0,0,0
User154,User161,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,0,0,0,0,0,1,0,0,0,0,0
User69,User117,0.7013788634640541,0.8188051513198634,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,10,0,8,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
User113,User176,0.15647260957848544,0.14664457408823883,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0
User11,User194,0.0,0.06297335605699649,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0
User182,User196,0.0,0.06297335605699649,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
User27,User82,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0
User55,User104,0.0,0.06297335605699649,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
User34,User64,0.0,0.06297335605699649,0,0,0,9,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6
User39,User196,0.0,0.06297335605699649,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
User28,User90,0.6732257699134001,0.7923837888155638,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,9,9
User35,User72,0.0,0.06297335605699649,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
User28,User113,0.01932029010019788,0.0701701725812903,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,9,0
User26,User94,0.0,0.06297335605699649,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3
User29,User108,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,0,0,5,0,0
User9,User138,0.0,0.06297335605699649,0,0,0,0,4,10,0,0,5,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
User150,User172,0.5323091306991999,0.6210140996304017,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,10,0,0,0,2,0,0,0,0
User69,User158,0.0,0.06297335605699649,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0
User102,User170,0.7111653095877045,0.8273543508410292,1,3,0,0,0,8,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
User35,User42,0.0,0.06297335605699649,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
User92,User189,0.41899175720386655,0.4536213394839516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,5
User73,User80,0.0,0.06297335605699649,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
User131,User190,0.12434118282549844,0.12412297364994743,0,8,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
User79,User110,0.16654527164856575,0.15437015970149068,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
User99,User193,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,2,8,0
User53,User194,0.5678885630303183,0.6698112240241625,1,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,4,0,0,0,0
User31,User129,0.06870307200309488,0.09213995434391502,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,8,1,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
User48,User104,0.0,0.06297335605699649,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,7
User15,User151,0.09638582199437337,0.10700694469032232,0,0,0,5,0,0,0,0,7,0,0,0,8,0,0,7,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User84,User124,0.0,0.06297335605699649,0,8,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,7,0,0,0,0
User14,User91,0.6715462212314444,0.7907210711385821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,1,0,0,0,0,0
User79,User106,0.0,0.06297335605699649,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
User11,User200,0.3077935056255462,0.29875385213418926,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2
User30,User193,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,9,0
User21,User162,0.0,0.06297335605699649,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,5,9,0,0,0,0,0,0,0,0,0,5,0
User26,User135,0.0,0.06297335605699649,0,1,0,0,0,0,9,0,10,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
User132,User200,0.11633501014942217,0.11899414944993217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,2
User31,User199,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,9,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1
User130,User152,0.2743188584847957,0.258441086186816,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0
User66,User140,0.2993924754260479,0.288301994838858,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,5,0,0,0,0,4,0,0,0,0,0
User20,User163,0.0,0.06297335605699649,0,0,10,0,0,0,0,7,0,10,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
User61,User166,0.0,0.06297335605699649,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
User127,User154,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,1,10,0,0,0
User67,User123,0.0,0.06297335605699649,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,6
User26,User40,0.0,0.06297335605699649,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,3,0,0,8,0,0,0,0,0,0,0
User120,User159,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0
User122,User140,0.3320079470373316,0.3300514608826879,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,1,0,0,0,0,0,0,0,2,0
User60,User128,0.0,0.06297335605699649,0,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
User136,User157,0.5231834223239328,0.6080446851330272,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0
User74,User176,0.19295098316976828,0.17620202744420568,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,10,3,0,0,0,0,0,0
User124,User160,0.29361230693621254,0.2812385747540666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,9,0,7,0,0,9,0,0
User25,User131,0.0,0.06297335605699649,0,0,8,0,0,0,0,0,5,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0
User3,User110,0.24015983299389046,0.22113902255290954,0,4,7,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User92,User172,0.8095689876252218,0.8963595506897144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,8,10,0,0,0,2,0,0,0,0
User104,User135,0.0,0.06297335605699649,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
User89,User126,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,8,0,0,0,0,0
User37,User51,0.0,0.06297335605699649,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0
User53,User172,0.0,0.06297335605699649,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,2,0,0,0,0
User37,User60,0.0,0.06297335605699649,0,0,0,0,5,0,1,6,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
User13,User84,0.0,0.06297335605699649,0,0,8,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
User34,User184,0.29756985032180777,0.28606335920179965,0,0,10,9,5,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
User129,User139,0.8757908347079926,0.9278916424862969,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
User71,User130,0.4044365542792285,0.43207733341271704,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
User118,User128,0.0,0.06297335605699649,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
User122,User138,0.0,0.06297335605699649,0,0,0,0,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0
User46,User173,0.0,0.06297335605699649,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
User141,User190,0.18907458062764443,0.1728513402963818,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User86,User94,0.06839411288813299,0.09198500462217843,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3
User41,User129,0.0,0.06297335605699649,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
User36,User159,0.26923873499165474,0.25264261623939804,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,4,0,8,0
User13,User140,0.0,0.06297335605699649,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,8,0,0,0,4,0
User13,User106,0.0,0.06297335605699649,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
User33,User185,0.2750456656690116,0.2592777186600304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
User149,User169,0.6372125568909961,0.7545957531008294,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,3,0,0,0,0,0,0
User164,User188,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,8,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,0,0,0
User108,User137,0.3984095364447979,0.4232263446799767,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,5,10,0,0
User138,User187,0.0,0.06297335605699649,0,0,0,4,0,0,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
User169,User190,0.03974294376995216,0.07859856719159236,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0
User2,User126,0.1484539238050411,0.1407255951678376,0,0,0,0,0,1,0,10,2,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
User42,User177,0.51568263416717,0.5972682909171455,1,3,0,0,0,7,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7
User39,User131,0.1368547487997595,0.13251854833064078,0,0,8,0,0,0,0,4,5,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
User27,User31,0.060590414275451074,0.08814823806917664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,1,8,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0
User152,User162,0.0,0.06297335605699649,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0
User24,User94,0.29926199150199406,0.2881413822215524,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,3
User84,User189,0.0,0.06297335605699649,0,8,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
User28,User177,0.5425184246961128,0.6353204624330697,1,0,0,0,0,2,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,7
User90,User93,0.0,0.06297335605699649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,2,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,9,0
User22,User127,0.0,0.06297335605699649,0,5,0,0,0,0,0,6,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0
User52,User135,0.0,0.06297335605699649,0,0,0,0,0,0,9,0,10,6,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User15,User180,0.0,0.06297335605699649,0,0,0,5,0,0,10,0,0,0,0,0,6,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
